epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,62.1451,nan,nan,nan,0.45503,0.68453,0.47422,0.3072,nan,nan,nan,0.0011882,0.0011882,0.0011882
43,63.7559,nan,nan,nan,0.42339,0.63636,0.47186,0.3057,nan,nan,nan,0.0011684,0.0011684,0.0011684
44,65.3469,nan,nan,nan,0.45461,0.68336,0.47136,0.31116,nan,nan,nan,0.0011486,0.0011486,0.0011486
45,67.2232,nan,nan,nan,0.42373,0.63636,0.46901,0.30963,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,68.8255,nan,nan,nan,0.44051,0.71632,0.46386,0.30755,nan,nan,nan,0.001109,0.001109,0.001109
47,70.4234,nan,nan,nan,0.4212,0.63636,0.46601,0.30148,nan,nan,nan,0.0010892,0.0010892,0.0010892
48,72.0047,nan,nan,nan,0.42162,0.63636,0.46601,0.30148,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,73.5842,nan,nan,nan,0.42162,0.63636,0.46901,0.30105,nan,nan,nan,0.0010496,0.0010496,0.0010496
50,75.1694,nan,nan,nan,0.41942,0.63636,0.46886,0.3048,nan,nan,nan,0.0010298,0.0010298,0.0010298
51,77.2786,nan,nan,nan,0.41893,0.63636,0.46886,0.3048,nan,nan,nan,0.00101,0.00101,0.00101
52,78.9549,nan,nan,nan,0.41822,0.63636,0.48176,0.31214,nan,nan,nan,0.0009902,0.0009902,0.0009902
53,80.9395,nan,nan,nan,0.41617,0.63636,0.46586,0.30022,nan,nan,nan,0.0009704,0.0009704,0.0009704
54,82.5318,nan,nan,nan,0.41738,0.63636,0.48476,0.31276,nan,nan,nan,0.0009506,0.0009506,0.0009506
55,84.2454,nan,nan,nan,0.42005,0.63636,0.48776,0.31524,nan,nan,nan,0.0009308,0.0009308,0.0009308
56,85.9724,nan,nan,nan,0.41924,0.63636,0.48776,0.32307,nan,nan,nan,0.000911,0.000911,0.000911
57,88.372,nan,nan,nan,0.42019,0.63636,0.47186,0.31195,nan,nan,nan,0.0008912,0.0008912,0.0008912
58,89.9608,nan,nan,nan,0.41924,0.63636,0.47186,0.31195,nan,nan,nan,0.0008714,0.0008714,0.0008714
59,91.5522,nan,nan,nan,0.41877,0.63636,0.47051,0.31085,nan,nan,nan,0.0008516,0.0008516,0.0008516
60,93.1549,nan,nan,nan,0.41906,0.63636,0.47186,0.31195,nan,nan,nan,0.0008318,0.0008318,0.0008318
61,94.7768,nan,nan,nan,0.41998,0.63636,0.48776,0.32307,nan,nan,nan,0.000812,0.000812,0.000812
62,96.513,nan,nan,nan,0.41978,0.63636,0.48776,0.32307,nan,nan,nan,0.0007922,0.0007922,0.0007922
63,98.36,nan,nan,nan,0.4196,0.63636,0.48776,0.31363,nan,nan,nan,0.0007724,0.0007724,0.0007724
64,99.9467,nan,nan,nan,0.41853,0.63636,0.46601,0.30073,nan,nan,nan,0.0007526,0.0007526,0.0007526
65,101.543,nan,nan,nan,0.41888,0.63636,0.46601,0.30848,nan,nan,nan,0.0007328,0.0007328,0.0007328
66,103.125,nan,nan,nan,0.41979,0.63636,0.47186,0.30337,nan,nan,nan,0.000713,0.000713,0.000713
67,104.707,nan,nan,nan,0.42052,0.63636,0.47186,0.30337,nan,nan,nan,0.0006932,0.0006932,0.0006932
68,106.298,nan,nan,nan,0.41944,0.63636,0.47186,0.30337,nan,nan,nan,0.0006734,0.0006734,0.0006734
69,107.879,nan,nan,nan,0.42098,0.63636,0.46901,0.30166,nan,nan,nan,0.0006536,0.0006536,0.0006536
70,109.46,nan,nan,nan,0.42089,0.63636,0.46901,0.30163,nan,nan,nan,0.0006338,0.0006338,0.0006338
71,111.057,nan,nan,nan,0.42197,0.63636,0.47186,0.30337,nan,nan,nan,0.000614,0.000614,0.000614
72,112.96,nan,nan,nan,0.42066,0.63636,0.47186,0.30204,nan,nan,nan,0.0005942,0.0005942,0.0005942
73,114.551,nan,nan,nan,0.42079,0.63636,0.47186,0.30204,nan,nan,nan,0.0005744,0.0005744,0.0005744
74,116.377,nan,nan,nan,0.41953,0.63636,0.46586,0.3026,nan,nan,nan,0.0005546,0.0005546,0.0005546
75,117.987,nan,nan,nan,0.42113,0.63636,0.47186,0.31195,nan,nan,nan,0.0005348,0.0005348,0.0005348
76,119.582,nan,nan,nan,0.42103,0.63636,0.47186,0.3057,nan,nan,nan,0.000515,0.000515,0.000515
77,121.177,nan,nan,nan,0.4179,0.63636,0.48476,0.31434,nan,nan,nan,0.0004952,0.0004952,0.0004952
78,122.773,nan,nan,nan,0.4138,0.63636,0.48476,0.31273,nan,nan,nan,0.0004754,0.0004754,0.0004754
79,124.358,nan,nan,nan,0.43811,0.63636,0.48893,0.31491,nan,nan,nan,0.0004556,0.0004556,0.0004556
80,125.952,nan,nan,nan,0.43882,0.63636,0.48893,0.31491,nan,nan,nan,0.0004358,0.0004358,0.0004358
81,127.529,nan,nan,nan,0.43917,0.63636,0.48893,0.31491,nan,nan,nan,0.000416,0.000416,0.000416
82,129.138,nan,nan,nan,0.41615,0.63636,0.46886,0.31196,nan,nan,nan,0.0003962,0.0003962,0.0003962
83,130.764,nan,nan,nan,0.42012,0.63636,0.46601,0.30148,nan,nan,nan,0.0003764,0.0003764,0.0003764
84,132.374,nan,nan,nan,0.4155,0.63636,0.46886,0.31105,nan,nan,nan,0.0003566,0.0003566,0.0003566
85,133.975,nan,nan,nan,0.43951,0.63636,0.47304,0.31325,nan,nan,nan,0.0003368,0.0003368,0.0003368
86,135.696,nan,nan,nan,0.4397,0.63636,0.46753,0.30875,nan,nan,nan,0.000317,0.000317,0.000317
87,137.283,nan,nan,nan,0.43764,0.63636,0.47018,0.31093,nan,nan,nan,0.0002972,0.0002972,0.0002972
88,138.889,nan,nan,nan,0.42141,0.63636,0.45101,0.29778,nan,nan,nan,0.0002774,0.0002774,0.0002774
89,140.482,nan,nan,nan,0.41961,0.63636,0.46601,0.30873,nan,nan,nan,0.0002576,0.0002576,0.0002576
90,142.085,nan,nan,nan,0.41725,0.63636,0.46601,0.30073,nan,nan,nan,0.0002378,0.0002378,0.0002378
91,145.099,nan,nan,nan,0.41393,0.64239,0.48601,0.32408,nan,nan,nan,0.000218,0.000218,0.000218
92,146.929,nan,nan,nan,0.41522,0.64598,0.48747,0.30898,nan,nan,nan,0.0001982,0.0001982,0.0001982
93,148.531,nan,nan,nan,0.41813,0.65407,0.49156,0.30605,nan,nan,nan,0.0001784,0.0001784,0.0001784
94,150.144,nan,nan,nan,0.45809,0.69292,0.52792,0.33259,nan,nan,nan,0.0001586,0.0001586,0.0001586
95,151.91,nan,nan,nan,0.4582,0.69323,0.52301,0.32847,nan,nan,nan,0.0001388,0.0001388,0.0001388
96,153.513,nan,nan,nan,0.45074,0.72727,0.52831,0.33647,nan,nan,nan,0.000119,0.000119,0.000119
97,155.724,nan,nan,nan,0.44917,0.72727,0.52831,0.33659,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
98,157.466,nan,nan,nan,0.44863,0.72727,0.52831,0.33678,nan,nan,nan,7.94e-05,7.94e-05,7.94e-05
99,159.194,nan,nan,nan,0.51684,0.72727,0.53322,0.33372,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
100,160.783,nan,nan,nan,0.51247,0.72727,0.51232,0.31843,nan,nan,nan,3.98e-05,3.98e-05,3.98e-05
